workload,best_class,best_pct,ipc_baseline,branch_pct,cache_pct,dram_bw_pct,dram_lat_pct
641.leela_s-149B,BRANCH,+23.0%,1.341,+23.0%,+0.0%,+0.0%,+0.1%
641.leela_s-334B,BRANCH,+28.8%,1.256,+28.8%,+0.2%,+0.2%,+0.7%
648.exchange2_s-72B,BRANCH,+61.3%,1.613,+61.3%,+0.0%,+0.0%,+0.0%
648.exchange2_s-353B,BRANCH,+55.6%,1.637,+55.6%,+0.0%,+0.0%,+0.0%
458.sjeng-31B,BRANCH,+42.4%,1.124,+42.4%,+0.4%,+0.2%,+2.0%
445.gobmk-17B,BRANCH,+62.8%,1.246,+62.8%,+0.0%,+0.0%,+0.1%
473.astar-42B,BRANCH,+32.7%,0.5061,+32.7%,+17.4%,+1.3%,+9.4%
429.mcf-22B,CACHE,+125.0%,0.2993,+7.9%,+125.0%,+13.8%,+50.8%
429.mcf-184B,CACHE,+91.4%,0.1011,+6.8%,+91.4%,+14.8%,+51.5%
437.leslie3d-134B,DRAM_LAT,+37.2%,0.683,+0.1%,+17.3%,+9.1%,+37.2%
437.leslie3d-232B,CACHE,+41.8%,0.7476,+0.0%,+41.8%,+9.7%,+34.3%
482.sphinx3-417B,CACHE,+249.8%,0.4669,+0.6%,+249.8%,+14.0%,+50.6%
620.omnetpp_s-141B,CACHE,+91.5%,0.4076,+4.9%,+91.5%,+7.6%,+32.7%
450.soplex-92B,CACHE,+225.4%,0.3104,+3.7%,+225.4%,+19.8%,+52.6%
605.mcf_s-472B,CACHE,+130.5%,0.2526,+5.7%,+130.5%,+10.8%,+48.6%
605.mcf_s-484B,CACHE,+79.8%,0.3162,+7.9%,+79.8%,+11.4%,+43.8%
605.mcf_s-782B,DRAM_LAT,+44.5%,0.06621,+-0.8%,+38.4%,+6.7%,+44.5%
605.mcf_s-994B,CACHE,+85.5%,0.3993,+8.5%,+85.5%,+11.1%,+35.9%
619.lbm_s-2676B,DRAM_BW,+61.9%,0.6931,+0.0%,+42.6%,+61.9%,+57.7%
619.lbm_s-2677B,DRAM_BW,+90.5%,0.4413,+0.0%,+61.0%,+90.5%,+52.1%
619.lbm_s-3766B,DRAM_BW,+79.8%,0.519,+0.0%,+54.7%,+79.8%,+53.7%
649.fotonik3d_s-1B,BRANCH,+28.5%,1.807,+28.5%,+0.0%,+0.0%,+0.0%
433.milc-337B,DRAM_LAT,+67.0%,0.4590,+1.3%,+20.1%,+26.8%,+67.0%
433.milc-274B,DRAM_LAT,+65.1%,0.4300,+1.2%,+11.4%,+22.0%,+65.1%
