suite,group,benchmark,trace,weight
SPEC2017,A,600.perlbench_s,600.perlbench_s-210B.champsimtrace.xz,0.480997
SPEC2017,A,602.gcc_s,602.gcc_s-734B.champsimtrace.xz,0.641196
SPEC2017,A,623.xalancbmk_s,623.xalancbmk_s-700B.champsimtrace.xz,0.413137
SPEC2017,A,631.deepsjeng_s,631.deepsjeng_s-928B.champsimtrace.xz,0.990287
SPEC2017,A,641.leela_s,641.leela_s-800B.champsimtrace.xz,0.255459
SPEC2017,A,648.exchange2_s,648.exchange2_s-1699B.champsimtrace.xz,0.182348
SPEC2006,A,403.gcc,403.gcc-17B.champsimtrace.xz,0.395062
SPEC2006,A,445.gobmk,445.gobmk-30B.champsimtrace.xz,0.337607
SPEC2006,A,458.sjeng,458.sjeng-1088B.champsimtrace.xz,0.271429
SPEC2006,A,473.astar,473.astar-153B.champsimtrace.xz,0.610706
SPEC2017,B,605.mcf_s,605.mcf_s-665B.champsimtrace.xz,0.440506
SPEC2017,B,620.omnetpp_s,620.omnetpp_s-874B.champsimtrace.xz,0.828467
SPEC2006,B,429.mcf,429.mcf-51B.champsimtrace.xz,0.322581
SPEC2006,B,471.omnetpp,471.omnetpp-188B.champsimtrace.xz,0.944732
SPEC2006,B,483.xalancbmk,483.xalancbmk-716B.champsimtrace.xz,0.375338
SPEC2006,B,450.soplex,450.soplex-247B.champsimtrace.xz,0.486842
SPEC2006,B,482.sphinx3,482.sphinx3-1395B.champsimtrace.xz,0.237065
SPEC2017,C,619.lbm_s,619.lbm_s-4268B.champsimtrace.xz,0.418157
SPEC2017,C,603.bwaves_s,603.bwaves_s-3699B.champsimtrace.xz,0.733890
SPEC2017,C,649.fotonik3d_s,649.fotonik3d_s-1176B.champsimtrace.xz,0.497231
SPEC2017,C,654.roms_s,654.roms_s-842B.champsimtrace.xz,0.431392
SPEC2006,C,470.lbm,470.lbm-1274B.champsimtrace.xz,0.961187
SPEC2006,C,410.bwaves,410.bwaves-945B.champsimtrace.xz,0.421011
SPEC2006,C,433.milc,433.milc-127B.champsimtrace.xz,0.441350
SPEC2006,C,437.leslie3d,437.leslie3d-273B.champsimtrace.xz,0.171947
SPEC2006,C,462.libquantum,462.libquantum-1343B.champsimtrace.xz,0.458315
